,index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,2.9476765787540247,Intercept,598.6214737855596,599.0,0.3785262144403987,598.0
1,1,grade:A,0.9834367402359301,grade,24.554458465252694,25.0,0.4455415347473064,25.0
2,2,grade:B,0.7957545248031337,grade,19.868407014291417,20.0,0.1315929857085827,20.0
3,3,grade:C,0.6118707810685236,grade,15.277195843064025,15.0,-0.27719584306402467,15.0
4,4,grade:D,0.48948445031906823,grade,12.221452700519606,12.0,-0.22145270051960608,12.0
5,5,grade:E,0.3333122435229792,grade,8.322143463525412,8.0,-0.32214346352541234,8.0
6,6,grade:F,0.19149659209604133,grade,4.78128884602342,5.0,0.2187111539765798,5.0
7,7,home_ownership:OWN,-0.04826055010568567,home_ownership,-1.2049699025847016,-1.0,0.2049699025847016,-1.0
8,8,home_ownership:OTHER_NONE_RENT,-0.10422596804660754,home_ownership,-2.602315023117008,-3.0,-0.3976849768829922,-3.0
9,9,verification_status:Source Verified,-0.28146449210003094,verification_status,-7.0276082822120625,-7.0,0.027608282212062463,-7.0
10,10,verification_status:Verified,-0.4594382340404501,verification_status,-11.47125846893707,-11.0,0.47125846893706935,-11.0
11,11,purpose:debt_consolidation,-0.31568934461903986,purpose,-7.8821347456588065,-8.0,-0.11786525434119355,-8.0
12,12,purpose:credit_card,-0.22221688087590175,purpose,-5.548313326626704,-6.0,-0.45168667337329627,-6.0
13,13,purpose:educ__ren_en__sm_b__mov,-0.48161011776069823,purpose,-12.024846285652803,-12.0,0.02484628565280289,-12.0
14,14,purpose:vacation__house__wedding__med__oth,0.003901378723534191,purpose,0.09740966338237374,0.0,-0.09740966338237374,0.0
15,15,term:36,-0.09398361280642843,term,-2.346583794008152,-2.0,0.346583794008152,-2.0
16,16,int_rate:<7.071,0.9522754217182839,int_rate,23.77642234970093,24.0,0.22357765029907029,24.0
17,17,int_rate:7.071-10.374,0.28294783160181697,int_rate,7.0646443178779,7.0,-0.06464431787790037,7.0
18,18,int_rate:10.374-13.676,0.054582297380982005,int_rate,1.3628113524189316,1.0,-0.3628113524189316,1.0
19,19,int_rate:13.676-15.74,0.0375243618013938,int_rate,0.9369086445421938,1.0,0.0630913554578062,1.0
20,20,int_rate:15.74-20.281,-0.013326397134748029,int_rate,-0.3327336182885857,-0.0,0.3327336182885857,-0.0
21,21,annual_inc:missing,0.6004026315159827,annual_inc,14.990858969180692,15.0,0.009141030819307616,15.0
22,22,"annual_inc:<28,555",0.4903984465409463,annual_inc,12.244273367420984,12.0,-0.24427336742098404,12.0
23,23,"annual_inc:28,555-37,440",0.42665487055897183,annual_inc,10.652723118341846,11.0,0.3472768816581535,11.0
24,24,"annual_inc:37,440-61,137",0.40408588019784414,annual_inc,10.089220339004916,10.0,-0.08922033900491577,10.0
25,25,"annual_inc:61,137-81,872",0.3694291415479137,annual_inc,9.223910538278249,9.0,-0.2239105382782487,9.0
26,26,"annual_inc:81,872-102,606",0.3238451547953368,annual_inc,8.085769096533602,8.0,-0.08576909653360154,8.0
27,27,"annual_inc:102,606-120,379",0.18577966615712316,annual_inc,4.638548581426009,5.0,0.3614514185739912,5.0
28,28,"annual_inc:120,379-150,000",0.14805157631866492,annual_inc,3.6965532531962544,4.0,0.3034467468037456,4.0
29,29,dti:<=1.6,0.5075701196383889,dti,12.673015874792533,13.0,0.326984125207467,13.0
30,30,dti:1.6-5.599,0.4910315416288824,dti,12.260080491972337,12.0,-0.26008049197233696,12.0
31,31,dti:5.599-10.397,0.33818236194378615,dti,8.44374062945586,8.0,-0.4437406294558599,8.0
32,32,dti:10.397-15.196,0.2325433504775891,dti,5.806144723963452,6.0,0.1938552760365484,6.0
33,33,dti:15.196-19.195,0.11035469521638899,dti,2.7553371450067816,3.0,0.24466285499321838,3.0
34,34,dti:19.195-24.794,0.04028166987988059,dti,1.0057531405011988,1.0,-0.005753140501198795,1.0
35,35,dti:24.794-35.191,0.02439739536323153,dti,0.609154413900684,1.0,0.39084558609931597,1.0
36,36,inq_last_6mths:missing,0.13280870140677214,inq_last_6mths,3.315968998406951,3.0,-0.31596899840695114,3.0
37,37,inq_last_6mths:0,0.3884678151262902,inq_last_6mths,9.699268332518884,10.0,0.30073166748111646,10.0
38,38,inq_last_6mths:1-2,0.34548673043634176,inq_last_6mths,8.626116175769422,9.0,0.3738838242305782,9.0
39,39,inq_last_6mths:3-4,0.2485131799368247,inq_last_6mths,6.204879587234776,6.0,-0.2048795872347764,6.0
40,40,revol_util:missing,-0.07718356364580371,revol_util,-1.9271199968453585,-2.0,-0.07288000315464149,-2.0
41,41,revol_util:<0.1,-0.1645086316727175,revol_util,-4.107453177531505,-4.0,0.10745317753150463,-4.0
42,42,revol_util:0.1-0.2,-0.5649602046502358,revol_util,-14.105932097144208,-14.0,0.10593209714420837,-14.0
43,43,revol_util:0.2-0.3,0.45869651740634976,revol_util,11.452739280523756,11.0,-0.45273928052375645,11.0
44,44,revol_util:0.3-0.4,-0.12650409078531213,revol_util,-3.158555416718827,-3.0,0.15855541671882678,-3.0
45,45,revol_util:0.4-0.5,0.3237263556394922,revol_util,8.082802918010321,8.0,-0.08280291801032114,8.0
46,46,revol_util:0.5-0.6,0.4192618127315737,revol_util,10.468133175819965,10.0,-0.4681331758199647,10.0
47,47,revol_util:0.6-0.7,-0.25176946012905094,revol_util,-6.286182423970428,-6.0,0.2861824239704278,-6.0
48,48,revol_util:0.7-0.8,0.03852841028847867,revol_util,0.9619777373109983,1.0,0.03802226268900166,1.0
